D_K	class_group
-152714811	312,3,3
-152816443	126,6,3
-152905127	180,6,6
-153042728	276,6,3
-153198052	132,6,3
-153302195	174,6,3
-153313240	180,6,3
-153480415	144,6,6
-153519367	228,6,3
-153943012	144,6,3
-154046179	384,3,3
-154287143	1473,3,3
-154377755	54,6,6,2
-154481732	234,6,3
-154698484	228,6,3
-154876207	603,3,3
-154983683	198,6,3
-155025784	456,3,3
-155075539	258,3,3
-155118372	42,6,6,2
-155125299	108,6,6
-155128595	270,6,3
-155183059	312,3,3
-155329032	108,6,6
-155523399	630,6,3
-155535991	840,3,3
-155631895	744,3,3
-155694552	102,6,6
-155849707	258,3,3
-156042111	120,12,6
-156057779	525,3,3
-156143667	108,6,3
-156193879	1068,3,3
-156225839	990,6,3
-156396211	342,3,3
-156418328	342,6,3
-156532271	1548,3,3
-156684559	873,3,3
-156971831	1485,3,3
-157096916	354,6,3
-157196355	66,6,6
-157236043	114,6,3
-157301587	171,3,3
-157315523	360,3,3
-157316487	492,6,3
-157432807	558,3,3
-157658059	72,12,3
-157734627	102,6,3
-157759203	180,6,3
-157790728	336,3,3
-157818392	150,6,6
-157925364	180,6,3
-158030527	519,3,3
-158043283	210,3,3
-158410088	216,6,3
-158480488	72,6,6
-158568063	504,6,3
-158712740	96,12,6
-158907844	228,6,3
-159035703	324,6,3
-159059928	234,6,3
-159120831	276,6,6
-159183431	876,6,3
-159218551	798,3,3
-159264212	306,6,3
-159518299	54,18,3
-159552807	726,3,3
-159566963	459,3,3
-159842587	165,3,3
-159919223	1176,3,3
-159937095	282,6,6
-159949967	756,3,3
-159977627	456,3,3
-159983764	522,3,3
-160005791	216,18,3
-160203255	222,6,6
-160265044	198,6,3
-160327995	66,6,6
-160496276	432,6,3
-160504687	558,3,3
-160747208	648,3,3
-160794955	126,6,3
-161268388	60,6,6
-161434111	765,3,3
-161631311	1590,3,3
-162002355	150,6,3
-162102223	945,3,3
-162106804	288,6,3
-162404267	60,15,3
-162632559	144,24,3
-162705839	1476,3,3
-162763288	270,3,3
-162856443	132,6,3
-162898612	132,6,3
-162946099	132,6,3
-163076963	210,6,3
-163092068	384,6,3
-163466895	162,6,6
-163742451	192,6,3
-163766039	1623,3,3
-163904980	84,6,6
-163967847	342,9,3
-164016836	342,6,3
-164081444	780,3,3
-164176007	816,3,3
-164195095	162,6,6
-164346863	978,3,3
-164379379	333,3,3
-164443092	84,6,6
-164490995	96,6,6
-164677748	234,6,3
-164782543	645,3,3
-164831348	300,6,3
-164922935	522,6,3
-164952155	204,6,3
-165028287	252,6,3
-165077195	354,6,3
-165118308	108,6,6
-165190723	192,3,3
-165241615	72,6,6,2
-165279163	84,6,3
-165352883	54,18,3
-165450503	492,6,3
-165487636	294,6,3
-165578919	252,6,6
-165626148	210,6,3
-165641871	684,6,3
-165712292	420,3,3
-165803188	126,6,3
-165813215	702,6,3
-165899471	2034,3,3
-165939880	36,6,6,2
-165978523	186,3,3
-166008856	132,6,6
-166116395	480,3,3
-166194779	570,3,3
-166449560	42,6,6,2,2
-166662296	390,6,3
-166721311	786,3,3
-167143115	378,6,3
-167309283	228,3,3
-167362379	192,6,3
-167486692	252,3,3
-167522495	456,6,6
-167616283	249,3,3
-167676440	48,6,6,2,2
-167729831	1785,3,3
-167892467	384,3,3
-168144596	738,3,3
-168228388	186,6,3
-168380088	42,6,6,2
-168423476	306,6,3
-168587555	198,6,3
-168629363	336,3,3
-168657416	324,6,3
-168674379	114,6,6
-168772951	864,3,3
-168936827	399,3,3
-168941587	210,3,3
-168954179	504,3,3
-168977080	306,6,3
-169003844	756,3,3
-169084939	264,3,3
-169565003	252,6,3
-169683887	1404,3,3
-169722548	234,6,3
-169812807	990,3,3
-169863899	582,3,3
-169952971	120,6,3
-170093352	18,6,6,2,2
-170269784	474,6,3
-170293295	336,6,6
-170316407	1125,3,3
-170421155	300,3,3
-170475647	1455,3,3
-170546831	498,6,6
-170558411	375,3,3
-170591747	228,6,3
-170641299	108,6,6
-171697711	1092,3,3
-171745732	204,3,3
-171847172	90,6,6,2
-171891672	120,6,6
-172142408	120,6,6
-172472980	72,6,6
-172519139	108,12,3
-172535059	243,3,3
-172600707	144,6,3
-172864612	108,6,3
-173055459	312,3,3
-173395336	96,6,6
-173436904	198,6,3
-173453135	540,6,3
-173668639	660,3,3
-173695507	297,3,3
-173728479	912,3,3
-173933419	24,12,6
-173970751	372,6,3
-174083503	456,6,3
-174180459	126,6,6
-174209115	42,6,6,2
-174259523	162,6,3
-174499367	624,6,3
-174716383	684,3,3
-174919243	90,6,3
-174922555	114,6,3
-175252199	1911,3,3
-175374843	60,6,6
-175432424	786,3,3
-175763156	444,6,3
-175922643	72,6,6
-175960952	192,12,3
-176010403	126,6,3
-176109944	1464,3,3
-176162891	240,6,3
-176214724	132,6,6
-176217427	42,6,6
-176265463	360,6,3
-176401403	144,12,3
-176461971	210,6,3
-176525099	522,3,3
-176696123	444,3,3
-176778823	426,3,3
-176811256	264,6,3
-176830351	1053,3,3
-177117767	1098,3,3
-177140660	138,6,6
-177146615	396,6,6
-177301835	240,6,3
-177327572	426,3,3
-177353432	126,6,6
-177661288	90,6,6
-177867732	12,12,6,2,2
-177887496	312,6,3
-177906983	999,3,3
-177907703	1098,3,3
-177911939	483,3,3
-177935896	570,3,3
-178005176	474,6,3
-178099799	1575,3,3
-178208719	522,6,3
-178310356	108,6,6
-178446739	72,12,3
-178587192	96,6,6
-178595732	168,6,6
-178717416	162,6,6
-178745587	183,3,3
-178865079	762,6,3
-178904532	24,6,6,2,2
-178905743	558,6,3
-178913883	228,3,3
-179016427	168,3,3
-179262491	228,6,3
-179389396	288,6,3
-179422799	1878,3,3
-179458559	672,6,3
-179558808	18,6,6,2,2
-179638936	180,6,3
-179680511	2394,3,3
-179722799	1431,3,3
-179908680	60,6,6,2
-179972851	189,3,3
-179997667	90,6,3
-180102047	1158,3,3
-180175091	891,3,3
-180273460	162,6,3
-180478139	660,3,3
-180606567	600,3,3
-180681511	1287,3,3
-180757387	279,3,3
-180849736	90,6,6
-180853743	48,12,6,2
-180969287	876,3,3
-181118363	504,3,3
-181153571	474,3,3
-181220372	426,3,3
-181241707	240,3,3
-181286823	660,3,3
-181342911	648,6,3
-181476599	2613,3,3
-181587503	1380,3,3
-181588008	36,6,6,2,2
-181640027	618,3,3
-181673411	930,3,3
-181825823	1017,3,3
-181896179	750,3,3
-181922147	348,3,3
-181950799	738,3,3
-182054323	210,3,3
-182149179	330,3,3
-182164776	126,6,6,2
-182212055	630,6,3
-182254047	462,6,3
-182318531	801,3,3
-182388184	126,6,6
-182542676	954,3,3
-182619055	180,6,6
-182799908	468,3,3
-182853896	924,3,3
-182899799	1635,3,3
-182911171	279,3,3
-182954767	492,3,3
-183140612	246,6,3
-183409151	1572,3,3
-183667579	360,3,3
-183685731	186,6,3
-183701471	1440,3,3
-183810559	879,3,3
-183923899	168,6,3
-183931791	570,6,3
-184082084	1032,3,3
-184351135	738,3,3
-184395227	345,3,3
-184437784	450,3,3
-184537012	138,6,3
-184651483	171,3,3
-184715151	630,6,3
-184720719	672,6,3
-184787051	480,3,3
-185203607	1110,3,3
-185310795	48,6,6,2
-185339587	255,3,3
-185366740	54,6,6,2
-185376984	138,6,6
-185452055	540,6,6
-185493767	1179,3,3
-185593748	144,6,6
-185737816	294,6,3
-185745367	633,3,3
-185794639	864,3,3
-185908231	288,9,3
-185911063	570,3,3
-185974856	312,6,3
-186160899	120,6,3
-186273811	360,3,3
-186324791	924,6,3
-186530207	1440,3,3
-186585191	648,6,3
-186732515	120,6,6
-186896084	162,6,6
-187064291	474,3,3
-187136031	324,12,3
-187191391	843,3,3
-187240443	78,6,6
-187256667	36,12,6
-187261944	138,6,6
-187345615	324,6,3
-187487679	222,6,6
-187567459	162,6,3
-187653551	1602,3,3
-187856612	708,3,3
-187888579	234,3,3
-187924299	258,6,3
-188027396	888,3,3
-188159512	126,6,3
-188294116	684,3,3
-188342147	132,6,3
-188347123	234,3,3
-188352419	840,3,3
-188409163	345,3,3
-188424655	180,18,3
-188521447	660,3,3
-188689423	378,6,3
-188786283	84,6,6
-188866751	2193,3,3
-188874872	318,6,3
-188923415	672,6,3
-189043395	114,6,3
-189113140	60,6,6,2
-189378391	864,3,3
-189455935	132,6,6
-189537171	96,6,6
-189687759	714,6,3
-189791215	918,3,3
-190047751	906,3,3
-190056363	192,6,3
-190114552	198,6,3
-190539987	114,6,3
-190729947	12,12,12
-191222072	180,12,3
-191258143	354,6,3
-191379071	1494,3,3
-191500615	360,6,3
-191572984	408,3,3
-191775716	510,6,3
-191852891	885,3,3
-192103243	126,6,3
-192408559	960,3,3
-192502695	114,6,6,2
-192576376	552,3,3
-192619924	156,6,6
-192644159	1290,3,3
-192757064	162,18,3
-192836527	252,6,3
-192884708	516,3,3
-192928619	126,6,6
-192940519	192,12,3
-193021492	156,6,3
-193060583	462,6,3
-193067320	120,6,6
-193088888	240,6,3
-193390792	90,6,6
-193481043	126,6,3
-193677635	72,12,6
-193717864	474,3,3
-193724683	234,3,3
-193816927	795,3,3
-194056151	1842,3,3
-194112068	360,6,3
-194116724	918,3,3
-194186911	1149,3,3
-194796280	120,6,6
-194824979	798,3,3
-194878735	426,6,3
-194902340	480,6,3
-194921531	630,3,3
-194940932	576,3,3
-195028116	504,6,3
-195150847	612,3,3
-195522791	1710,3,3
-195733911	774,6,3
-195742011	552,3,3
-195812867	324,6,3
-195946071	414,6,6
-196019828	306,6,3
-196027460	216,6,6
-196148436	72,6,6,2
-196153635	120,6,6
-196237923	156,6,3
-196435124	774,3,3
-196463815	156,6,6
-196476104	144,12,6
-196531007	1188,3,3
-196569107	174,6,3
-196597871	1590,3,3
-196736856	180,6,6
-197004839	1680,3,3
-197305251	18,18,6,2
-197336239	378,6,3
-197346507	138,6,3
-197380424	432,6,3
-197520655	474,6,3
-197533055	1476,3,3
-197602267	30,15,3
-197631463	756,3,3
-197755779	180,6,3
-197851299	180,6,3
-197895156	432,6,3
-198110971	273,3,3
-198122815	168,6,6
-198144483	60,6,6
-198194747	192,6,3
-198235939	366,3,3
-198400387	60,12,3
-198453563	108,6,6
-198494239	891,3,3
-198524584	486,3,3
-198820263	408,6,3
-198860299	186,6,3
-198877919	1356,3,3
-198887288	186,6,6
-199237908	210,6,3
-199309903	498,3,3
-199344088	60,6,6
-199360376	594,6,3
-199412979	288,6,3
-199477931	585,3,3
-199690283	408,3,3
-199701204	420,6,3
-200114851	369,3,3
-200150516	240,6,6
-200237860	90,6,6
-200268852	90,6,6
-200478803	492,3,3
-200522872	90,6,6
-200543299	192,6,3
-200682148	72,12,3
-200688139	222,3,3
-200762879	1422,3,3
-200765784	60,6,6,2
-200857544	336,12,3
-200904807	804,3,3
-201153651	534,3,3
-201184687	126,6,6
-201249147	66,6,6
-201267635	282,6,3
-201509943	504,6,3
-201670239	276,12,3
-201865828	180,6,3
-201894591	1608,3,3
-201944579	429,3,3
-202033203	210,3,3
-202089347	468,3,3
-202630007	1488,3,3
-202646280	60,6,6,2
-202649351	348,12,3
-202945827	72,6,6
-203280547	120,6,3
-203333851	354,3,3
-203335283	108,6,6
-203438815	510,6,3
-203676712	150,6,3
-203768015	846,6,3
-203858167	594,3,3
-203878004	204,6,6
-203883711	1386,3,3
-203991051	132,6,6
-204038527	300,6,3
-204050292	324,6,3
-204084679	828,3,3
-204113731	417,3,3
-204440583	420,6,3
-204507832	84,12,3
-204642419	585,3,3
-204658815	318,6,3
-204723067	276,3,3
-204823608	60,6,6,2
-205076371	276,3,3
-205503987	84,6,6
-205619144	510,6,3
-205689587	555,3,3
-205724667	102,6,3
-205832776	102,6,6
-206198743	648,3,3
-206252439	1206,3,3
-206253204	180,6,6
-206311416	180,6,6
-206568676	162,6,6
-206739031	366,6,3
-206811455	900,3,3
-206845879	336,6,3
-206875335	486,6,3
-207000167	462,6,6
-207012155	132,6,6
-207025699	357,3,3
-207041351	1158,6,3
-207042888	120,6,6
-207079079	1422,3,3
-207311908	72,6,6
-207361259	810,3,3
-207394471	711,3,3
-207482084	720,6,3
-207634199	1020,6,3
-207990419	90,6,6,2
-207995032	36,12,6
-207995847	348,6,3
-208065752	354,6,3
-208367668	78,6,6
-208650767	990,6,3
-208912468	132,6,3
-208955643	36,12,6
-208981867	306,3,3
-209045512	114,6,3
-209147739	108,6,6
-209182171	168,6,3
-209225924	348,6,6
-209263531	288,3,3
-209274179	492,3,3
-209315959	1428,3,3
-209368319	2592,3,3
-209407499	270,6,3
-209480295	726,6,3
-209552171	261,9,3
-209559507	168,6,3
-209676371	444,3,3
-209714011	384,3,3
-209843384	252,12,3
-210252548	306,6,3
-210370495	90,6,6,2
-210377495	1896,3,3
-210398323	156,3,3
-210432088	210,6,3
-210486319	927,3,3
-210623048	816,3,3
-210687784	366,6,3
-210834547	36,6,6,2
-210859419	420,3,3
-210906552	246,6,3
-211187839	846,3,3
-211227288	276,6,3
-211248887	1188,3,3
-211273319	312,12,6
-211316836	276,6,3
-211478627	744,3,3
-211518948	96,6,6
-211674011	948,3,3
-211697448	144,6,6
-211831727	1134,3,3
-211865963	432,3,3
-211982516	414,6,3
-212003767	216,6,6
-212118807	660,6,3
-212206063	402,6,3
-212212823	756,6,3
-212245396	132,6,6
-212258623	567,3,3
-212283492	66,6,6
-212551711	654,3,3
-212640143	1182,3,3
-212659304	108,6,6,2
-212683816	156,6,3
-212731016	864,3,3
-212743887	342,6,3
-212907908	276,6,3
-213013047	84,6,6,2
-213098367	564,6,3
-213102835	72,6,6
-213113291	450,6,3
-213148667	411,3,3
-213251971	312,3,3
-213255839	648,6,6
-213311095	216,6,6
-213351791	768,6,3
-213510084	294,6,3
-213519091	228,3,3
-213523567	348,6,3
-213574708	414,3,3
-213725919	600,6,3
-213954164	486,6,3
-214239847	1005,3,3
-214246036	168,6,3
-214276819	72,12,3
-214281956	108,12,6
-214497487	801,3,3
-214554251	294,6,3
-214568767	210,6,6
-214663543	912,3,3
-214784131	282,3,3
-214829931	396,3,3
-214902679	1587,3,3
-215050467	120,6,3
-215096887	657,3,3
-215191176	288,6,3
-215496739	288,6,3
-215588015	1926,3,3
-215905567	750,3,3
-216023208	90,6,6
-216101427	330,3,3
-216103128	48,6,6,2
-216114011	561,3,3
-216224627	477,3,3
-216240116	432,6,3
-216265508	876,3,3
-216383591	1953,3,3
-216544255	132,6,6
-216576280	36,6,6,2
-216600463	702,3,3
-216760103	408,12,3
-216799879	546,6,3
-216895204	156,6,3
-216942043	246,3,3
-217070471	1740,3,3
-217169599	1128,3,3
-217403747	318,3,3
-217658847	216,6,6
-217690527	1068,3,3
-217786888	132,6,3
-217853303	1287,3,3
-217895863	666,3,3
-217978511	780,6,3
-217989339	210,6,3
-218070231	408,6,3
-218834760	66,6,6,2
-218866307	96,12,3
-218896311	288,6,6
-218986552	60,6,6
-219151043	432,3,3
-219220087	480,3,3
-219269055	222,6,6
-219272035	66,6,6
-219464615	954,6,3
-219557348	468,6,3
-219832360	42,6,6,2
-219948724	144,6,6
-219962883	42,6,6,2
-220005619	228,3,3
-220140383	1080,3,3
-220361444	1224,3,3
-220695555	234,6,3
-220840643	456,3,3
-221112004	204,6,3
-221199416	462,6,3
-221214083	318,6,3
-221216207	1314,3,3
-221335715	402,6,3
-221338583	1134,3,3
-221345743	654,3,3
-221351311	630,6,3
-221427476	426,6,3
-221522948	204,12,3
-221602115	102,6,6
-221797736	300,6,6
-221808419	834,3,3
-221837843	696,3,3
-221875943	1134,3,3
-221901812	390,6,3
-222069491	714,3,3
-222184507	300,3,3
-222245319	1476,3,3
-222374312	882,3,3
-222590884	156,6,6
-222644859	186,6,3
-222661736	522,6,3
-222710207	558,6,3
-222818327	1080,3,3
-222856951	702,3,3
-222920963	408,3,3
-222929780	468,6,3
-223186760	462,6,3
-223207751	192,12,6
-223256451	60,6,6,2
-223282415	648,6,3
-223393327	843,3,3
-223639699	423,3,3
-223683096	24,6,6,2,2,2
-223936067	516,3,3
-223985515	198,6,3
-224022644	576,6,3
-224238388	234,6,3
-224296403	312,3,3
-224319311	2295,3,3
-224413231	426,6,3
-224466427	156,6,3
-224676019	336,3,3
-224726819	414,3,3
-224882099	156,6,6
-224985828	36,6,6,2
-225084623	642,6,3
-225101011	327,3,3
-225111811	126,6,3
-225229288	246,3,3
-225266803	252,3,3
-225324367	561,3,3
-225364495	198,6,6
-225501451	450,3,3
-225512103	414,6,3
-225836484	402,6,3
-225882328	162,6,3
-225942056	426,6,3
-226103252	546,3,3
-226134863	1092,3,3
-226247927	1392,3,3
-226264808	108,12,6
-226285391	2193,3,3
-226492935	480,6,3
-226530804	138,6,6
-226566408	360,6,3
-226581815	390,6,6
-226705028	306,6,3
-226768747	243,3,3
-226776371	1002,3,3
-226828667	252,6,3
-227223859	192,3,3
-227254163	492,3,3
-227373668	264,6,3
-227588063	2256,3,3
-227621347	228,3,3
-227640788	210,6,3
-227824211	972,3,3
-227878467	306,3,3
-228030007	672,3,3
-228145263	414,6,3
-228153579	300,6,3
-228210632	156,6,6
-228363832	108,6,3
-228366007	738,3,3
-228970283	492,3,3
-229194311	540,9,3
-229241843	330,6,3
-229291060	174,6,3
-229443815	1146,6,3
-229527640	150,6,6
-229531859	636,3,3
-229712955	144,6,6
-229751351	1392,3,3
-229883727	300,12,3
-229988136	84,6,6,2
-230046103	738,3,3
-230059147	258,3,3
-230090324	516,6,3
-230159031	546,6,3
-230164167	474,6,3
-230270659	378,3,3
-230298803	222,6,3
-230337748	246,3,3
-230428731	60,12,6
-230471699	1113,3,3
-230514583	342,6,3
-230528276	300,6,6
-230575703	1020,3,3
-230822664	144,6,6
-230869047	252,6,6
-230902591	1419,3,3
-230992420	204,6,3
-231016295	480,12,3
-231041463	48,6,6,2,2
-231225544	180,6,3
-231290308	180,6,3
-231334483	300,3,3
-231409956	120,6,6
-231475976	1320,3,3
-231669355	60,12,3
-231693143	1512,3,3
-231743560	144,6,6
-231751283	72,18,3
-231827883	60,6,6
-232169891	306,6,3
-232207271	2235,3,3
-232278279	750,6,3
-232288451	984,3,3
-232430647	216,6,3
-232500984	180,6,6
-232562107	102,6,3
-232638215	648,6,6
-232755511	864,3,3
-232868947	270,3,3
-232873860	72,6,6,2
-232990372	60,6,6,2
-233110363	234,3,3
-233168199	630,6,3
-233259160	108,6,6
-233261311	1410,3,3
-233273028	120,6,6
-233377160	174,6,6
-233378648	552,6,3
-233384212	120,6,6
-233491316	750,3,3
-233541311	2322,3,3
-233773124	528,6,3
-233825080	246,6,3
-233836583	624,6,3
-233892148	84,6,6
-233934808	174,6,3
-234095963	690,3,3
-234178367	1206,3,3
-234216680	570,6,3
-234263467	96,6,3
-234373780	156,6,3
-234485215	1122,3,3
-234540447	192,6,6
-234571683	72,12,3
-234590248	96,6,6
-234596715	228,6,3
-234629443	309,3,3
-234715847	282,6,6
-234814603	162,3,3
-234884024	156,6,6
-234912628	54,18,3
-235445387	84,12,3
-235480459	261,3,3
-235698135	60,6,6,2,2
-235786379	408,6,3
-235997807	1467,3,3
-236036532	132,6,6
-236200607	1182,3,3
-236229063	456,6,3
-236316803	390,3,3
-236414323	384,3,3
-236454871	1008,3,3
-236582852	270,6,3
-236588356	516,3,3
-236666271	1404,3,3
-236838367	390,6,3
-236838891	108,12,3
-237122947	132,6,3
-237129972	216,6,3
-237132839	2685,3,3
-237231823	420,6,3
-237341095	606,6,3
-237497707	114,6,3
-237499487	654,6,3
-237647204	696,3,3
-237682667	264,6,3
-237682887	216,6,6
-237695999	2145,3,3
-237752167	576,3,3
-237819704	276,12,3
-237880760	162,6,6,2
-237884619	216,6,3
-237985716	84,6,6,2
-238287032	180,12,3
-238415435	276,6,3
-238458587	561,3,3
-238629407	1320,3,3
-238767892	108,6,6
-238811323	108,6,3
-238968328	396,3,3
-239295611	252,6,3
-239401204	78,6,6,2
-239565368	192,12,3
-239677039	636,6,3
-239745711	720,6,3
-239952212	36,18,6,2
-239955684	192,6,6
-240016907	192,6,3
-240028388	840,3,3
-240144999	2118,3,3
-240195587	174,6,3
-240302059	369,3,3
-240407007	750,3,3
-240460552	240,6,3
-240625759	282,6,6
-240638484	138,6,6
-240793507	120,6,3
-240822807	360,6,3
-240873128	312,6,3
-240934711	666,6,3
-241107927	630,3,3
-241111892	342,6,3
-241254183	408,6,3
-241726580	108,6,6,2
-241875231	762,6,3
-242101695	360,6,6
-242115347	498,3,3
-242119016	930,6,3
-242232791	1044,6,3
-242247867	66,6,6
-242316187	198,3,3
-242340203	510,3,3
-242440899	54,6,6,2
-242444315	126,6,6
-242522455	102,6,6,2
-242584547	564,3,3
-242686868	318,6,3
-242722852	144,6,3
-242783219	888,3,3
-242925263	702,6,3
-243066020	198,6,6
-243078099	66,6,6,2
-243254904	90,6,6,2
-243330035	270,6,3
-243543647	1923,3,3
-243630823	669,3,3
-243647527	690,3,3
-243686516	858,6,3
-243949704	360,6,3
-244033892	120,6,6
-244128520	120,6,6
-244152292	528,3,3
-244187239	1188,3,3
-244210852	372,3,3
-244269892	444,3,3
-244331403	108,6,6
-244541135	720,6,3
-244566452	144,6,6
-244574488	108,6,3
-244805735	1770,3,3
-244895752	258,6,3
-244981371	576,3,3
-245064376	234,6,3
-245459320	42,6,6,2
-245501416	360,6,3
-245517043	216,3,3
-245523464	258,6,6
-245537240	84,6,6,2
-245576008	396,3,3
-245583560	288,6,6
-245591416	126,6,6
-245677411	144,6,3
-245717455	228,6,6
-245732088	144,6,6
-245744803	144,6,3
-245767864	564,3,3
-245862719	1701,3,3
-245881960	42,6,6,2
-246038399	2952,3,3
-246044795	816,3,3
-246049428	198,6,3
-246200147	378,3,3
-246272179	549,3,3
-246295083	186,6,3
-246349464	252,6,3
-246485071	606,6,3
-246517819	231,3,3
-246519499	270,3,3
-246626351	2172,3,3
-246704163	216,6,3
-246726943	435,3,3
-246757107	84,12,3
-246798964	630,3,3
-246976439	2520,3,3
-247004580	102,6,6
-247032915	276,6,3
-247076763	390,3,3
-247085519	456,6,6
-247111131	24,24,6
-247299396	132,6,6
-247321123	120,6,3
-247346455	180,12,3
-247380063	192,6,6
-247420711	1440,3,3
-247491943	762,3,3
-247630479	486,6,6
-248200611	450,3,3
-248207583	240,6,6
-248222035	180,6,3
-248347943	756,6,3
-248348027	381,3,3
-248370667	162,6,3
-248425655	678,6,3
-248561239	624,6,3
-248582615	918,6,3
-248611796	576,6,3
-248615423	1464,3,3
-248690040	60,6,6,2
-248750871	708,6,3
-248786907	390,3,3
-248795599	1416,3,3
-248796148	462,3,3
-248876740	126,6,6
-248956792	144,6,3
-249007807	705,3,3
-249052084	216,6,3
-249211131	180,6,3
-249267887	630,6,3
-249287735	678,6,3
-249300260	270,6,6
-249584363	300,6,3
-249637119	612,6,3
-249646868	180,6,6
-249699611	666,3,3
-249851636	630,6,3
-249905111	1953,3,3
-250102687	723,3,3
-250163320	48,6,6,2
-250181399	1464,6,3
-250312443	462,3,3
-250315519	1134,3,3
-250388452	228,6,3
-250416355	84,6,6
-250419887	1053,3,3
-250651592	252,6,3
-250714824	108,6,6,2
-250876363	321,3,3
-250950711	396,6,6
-251159503	648,3,3
-251244319	246,6,6
-251515748	174,6,6
-251525471	1953,3,3
-251650151	2082,3,3
-251659127	1338,3,3
-251659327	882,3,3
-251665151	1932,3,3
-251781007	702,3,3
-251786119	510,6,3
-251813055	264,6,6
-251928587	336,3,3
-251940980	36,12,6,2
-252010247	1170,3,3
-252011080	342,6,3
-252080196	306,6,3
-252084955	156,6,3
-252127444	294,6,3
-252167063	1125,3,3
-252179896	144,6,6
-252458879	1794,3,3
-252469239	396,6,6
-252545119	915,3,3
-252895571	666,3,3
-252947443	186,3,3
-252952676	456,6,3
-253026155	516,3,3
-253067279	2160,3,3
-253162479	756,6,3
-253251611	702,3,3
-253313835	48,6,6,2
-253367895	270,6,6
-253375347	132,6,3
-253451747	264,6,3
-253454831	816,6,3
-253685315	180,6,3
-253774435	306,3,3
-253954095	342,6,6
-254028983	414,6,6
-254201011	270,3,3
-254249627	309,3,3
-254362767	882,3,3
-254387731	216,6,3
-254526760	216,6,3
-254569828	162,6,3
-254605147	252,3,3
-254707051	357,3,3
-254794207	522,6,3
-254801135	840,6,3
-255106308	210,6,3
-255121651	279,3,3
-255182655	126,6,6,2
-255243007	966,3,3
-255255899	828,3,3
-255285464	54,6,6,2,2
-255318879	1584,3,3
-255321555	48,6,6,2
-255352987	198,3,3
-255474859	450,3,3
-255475579	348,3,3
-255580779	540,3,3
-255612327	612,6,3
-255744543	288,12,3
-255849683	444,3,3
-256023012	24,12,6,2
-256128648	168,6,6
-256182367	330,6,3
-256281607	684,3,3
-256346771	645,3,3
-256421332	414,3,3
-256426628	120,24,3
-256506799	1377,3,3
-256600003	198,3,3
-257075528	504,6,3
-257157896	228,6,6
-257177743	822,3,3
-257287739	702,3,3
-257290543	462,6,3
-257428399	882,3,3
-257444104	420,3,3
-257503359	612,6,3
-257555839	1104,3,3
-257658555	24,6,6,2,2
-257677391	2172,3,3
-257735579	972,3,3
-257937944	684,6,3
-257943732	108,6,6
-258109643	150,6,3
-258194407	555,3,3
-258236995	168,6,3
-258415967	1086,6,3
-258547435	90,6,6
-258644163	324,3,3
-258742219	297,3,3
-258829007	1602,3,3
-258905528	192,6,6
-258973259	1134,3,3
-259076276	600,6,3
-259100259	300,6,3
-259111511	2676,3,3
-259176667	213,3,3
-259290571	108,9,3
-259312388	264,6,6
-259320568	102,6,6
-259322107	96,6,3
-259329716	294,6,6
-259344408	174,6,3
-259350863	1464,3,3
-259372472	180,12,3
-259399396	120,12,3
-259408859	705,3,3
-259503976	144,6,6
-259542167	1380,3,3
-259549895	552,6,6
-259574259	150,6,6
-259699839	372,6,6
-259746807	540,6,3
-259785791	1902,3,3
-260062679	228,12,6
-260089619	876,3,3
-260444091	252,6,3
-260587848	324,6,3
-260804559	468,6,3
-261271115	366,6,3
-261274344	66,6,6,2
-261403863	240,6,6
-261490404	90,6,6,2
-261538719	810,6,3
-261804103	264,6,3
-261891031	1677,3,3
-261950955	42,6,6,2
-262384951	1305,3,3
-262640883	336,3,3
-262811579	633,3,3
-262871224	114,6,6
-262919831	1926,3,3
-262931172	78,6,6,2
-263017320	150,6,6
-263236660	36,6,6,2
-263289343	600,3,3
-263310215	174,6,6,2
-263313967	342,6,3
-263329352	90,6,6,2
-263344088	372,6,3
-263413783	378,6,3
-263458915	342,3,3
-263467499	555,3,3
-263534695	960,3,3
-263652763	84,12,3
-263682115	174,3,3
-263780072	234,6,6
-263788292	186,6,6
-263885603	360,3,3
-263989123	330,3,3
-264097291	573,3,3
-264148387	321,3,3
-264172643	174,6,3
-264239579	591,3,3
-264392627	462,3,3
-264410680	90,6,6
-264618035	90,6,6,2
-264646131	240,6,3
-264862580	456,6,3
-264874404	282,6,3
-265050295	240,12,3
-265214116	588,3,3
-265226215	366,6,3
-265360027	96,6,3
-265376852	96,6,6,2
-265389256	288,6,3
-265425547	249,3,3
-265568660	48,6,6,2,2
-265653871	516,6,3
-265693748	138,6,6
-265776547	210,3,3
-265871311	1869,3,3
-266267480	282,6,6
-266460931	336,3,3
-266624663	558,6,3
-266733347	447,3,3
-266846755	36,6,6,2
-267019672	252,6,3
-267097588	414,3,3
-267263423	372,6,6
-267417667	150,6,3
-267653495	870,6,3
-267851127	960,3,3
-267855143	2202,3,3
-267937771	453,3,3
-268096708	54,6,6,2
-268102639	1374,3,3
-268214119	1659,3,3
-268303368	156,6,3
